S_MW,W_MW,Baseload_MW,DailyAvgProd_MW,DailyErrorPct
20.0,115.0,107045.30123403732,28097.369930079913,-0.7375188858719774
20.0,120.0,107015.29189285747,28182.72515525114,-0.7366476822446331
20.0,125.0,106985.36030159166,28268.080380422372,-0.7357761818931612
20.0,130.0,106955.5783094012,28353.435605593608,-0.7349045645513433
20.0,135.0,106925.87188341541,28438.79083076484,-0.7340326496306476
20.0,140.0,106896.21253172858,28524.146055936075,-0.7331603676091927
20.0,145.0,106866.79803377355,28609.50128110731,-0.7322882147917847
20.0,150.0,106838.1293716958,28694.856506278535,-0.7314174567167164
20.0,155.0,106809.65068789423,28780.211731449774,-0.7305467104695652
20.0,160.0,106781.4977992475,28865.566956621005,-0.7296763245362117
20.0,165.0,106753.40703477329,28950.92218179224,-0.728805637347369
20.0,170.0,106725.48550876061,29036.27740696347,-0.7279349232421154
20.0,175.0,106697.86117406425,29121.632632134697,-0.7270645136491874
20.0,180.0,106670.26417124906,29206.98785730594,-0.7261937233940203
20.0,185.0,106642.77522440584,29292.343082477164,-0.7253227607698882
20.0,190.0,106615.49509017321,29377.6983076484,-0.7244518886977794
20.0,195.0,106588.58748477999,29463.053532819635,-0.7235815369349301
20.0,200.0,106561.81504714729,29548.408757990866,-0.7227110973577408
25.0,0.0,134801.3268749991,32667.749688926946,-0.7576600286789488
25.0,5.0,134762.63545611966,32753.104914098174,-0.75695707639405
25.0,10.0,134724.31703532295,32838.4601392694,-0.756254395183465
25.0,15.0,134686.41592117754,32923.81536444064,-0.7555520715340096
25.0,20.0,134649.0928618607,33009.17058961187,-0.7548504049449731
25.0,25.0,134611.95274427033,33094.52581478311,-0.7541486833813741
25.0,30.0,134574.8709407819,33179.881039954336,-0.7534466813306121
25.0,35.0,134538.143159181,33265.23626512557,-0.7527449429284359
25.0,40.0,134501.73913703498,33350.5914902968,-0.7520434181425858
25.0,45.0,134465.55076402158,33435.94671546804,-0.7513419122928668
25.0,50.0,134429.5147530035,33521.30194063927,-0.7506403113763355
25.0,55.0,134393.66345239757,33606.6571658105,-0.7499386778922503
25.0,60.0,134357.90357114084,33692.012390981734,-0.7492368405916499
25.0,65.0,134322.2558221377,33777.367616152966,-0.7485348395214628
25.0,70.0,134286.65836786234,33862.7228413242,-0.7478325601895515
25.0,75.0,134251.4462764896,33948.07806649543,-0.7471306342832265
25.0,80.0,134216.36367262236,34033.433291666675,-0.7464285847090875
25.0,85.0,134181.5886599624,34118.78851683789,-0.7457267509084248
25.0,90.0,134147.36180526117,34204.14374200913,-0.7450255951237972
25.0,95.0,134113.75968512121,34289.49896718036,-0.7443252724575994
